Date,Open,High,Low,Close,Adj Close,Volume
2018-01-17,176.149994,179.250000,175.070007,179.100006,178.372757,34386800
2018-01-18,179.369995,180.100006,178.250000,179.259995,178.532104,31193400
2018-01-19,178.610001,179.580002,177.410004,178.460007,177.735352,32425100
2018-01-22,177.300003,177.779999,176.600006,177.000000,176.281281,27108600
2018-01-23,177.300003,179.440002,176.820007,177.039993,176.321106,32689100
2018-01-24,177.250000,177.300003,173.199997,174.220001,173.512573,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,170.415192,41529000
2018-01-26,172.000000,172.000000,170.059998,171.509995,170.813568,39143000
2018-01-29,170.160004,170.160004,167.070007,167.960007,167.278000,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,166.292007,46048200
2018-01-31,166.869995,168.440002,166.500000,167.429993,166.750137,32478900
2018-02-01,167.169998,168.619995,166.759995,167.779999,167.098724,47230800
2018-02-02,166.000000,166.800003,160.100006,160.500000,159.848282,86593800
2018-02-05,159.100006,163.880005,156.000000,156.490005,155.854568,72738500
2018-02-06,154.830002,163.720001,154.000000,163.029999,162.368011,68243800
2018-02-07,163.089996,163.399994,159.070007,159.539993,158.892166,51608600
2018-02-08,160.289993,161.000000,155.029999,155.149994,154.520004,54390500
2018-02-09,157.070007,157.889999,150.240005,156.410004,156.410004,70672600
2018-02-12,158.500000,163.889999,157.509995,162.710007,162.710007,60819500
2018-02-13,161.949997,164.750000,161.649994,164.339996,164.339996,32549200
2018-02-14,163.039993,167.539993,162.880005,167.369995,167.369995,40644900
2018-02-15,169.789993,173.089996,169.000000,172.990005,172.990005,51147200
2018-02-16,172.360001,174.820007,171.770004,172.429993,172.429993,39963200
